Codigo,Entidad,Nombre Fantasia,Comuna,Longitud,Latitud
713,Servipag,713-SANTA ISABEL ACUENTA GABRIELA,Puente Alto,-70.605822912767,-33.5823974728446
725,Servipag,725-MALL PLAZA SUR,San Bernardo,-70.71326824,-33.62948511
730,Servipag,730-SAN ANTONIO II,Santiago,-70.64798046044079,-33.4395874555726
731,Servipag,731-MUNICIPALIDAD VITACURA,Vitacura,-70.60004201,-33.39540034
745,Servipag,745-SANTA ISABEL BUSTAMANTE,Ñuñoa,-70.62978636341141,-33.4548350097525
749,Servipag,749-LIDER CENTRAL,Maipu,-70.757311,-33.503596
752,Servipag,752-LIDER SHOPPING PUENTE ALTO,Puente Alto,-70.5774851721172,-33.5995494428859
756,Servipag,756-TOTTUS EL BOSQUE,El Bosque,-70.67508439,-33.55395396
757,Servipag,757-MONTSERRAT COLINA,Colina,-70.6756368,-33.20486651
759,Servipag,759-TOTTUS NATANIEL,Santiago,-70.65277054,-33.45356944
763,Servipag,763-LIDER ESPACIO URBANO,La Reina,-70.53537466,-33.44131353
768,Servipag,768-SANTA ISABEL CERRO NAVIA,Cerro Navia,-70.73603719,-33.42928442
790,Servipag,790- MONSERRAT PEÑALOLEN,Peñalolen,-70.54340247410009,-33.4761125273929
791,Servipag,791-JUMBO CONCHA Y TORO,Puente Alto,-70.58294397,-33.57166778
794,Servipag,794-EASY OCHAGAVIA,Pedro Aguirre Cerda,-70.68285552218529,-33.5323749727552
802,Servipag,802-MALL PASEO SANTA FILOMENA,Independencia,-70.6444841917732,-33.428846220539896
808,Servipag,808-TOTTUS LA FLORIDA,La Florida,-70.595659,-33.519805
810,Servipag,810-SANTA ISABEL LA CISTERNA,La Cisterna,-70.6588035900165,-33.5180168198838
813,Servipag,813-COSTANERA CENTER,Providencia,-70.6081718086979,-33.4177753669844
815,Servipag,815-SANTA ISABEL HUECHURABA,Huechuraba,-70.67033791179341,-33.3476444970472
817,Servipag,817-STRIP CENTER MELIPILLA,Melipilla,-71.19345709151759,-33.6809794856297
825,Servipag,825-ESPACIO URBANO MAIPU,Maipu,-70.7573658429448,-33.510621250149995
849,Serviestado,849-SERVIESTADO,Las Condes,-70.60383467619481,-33.4143063718314
880,Serviestado,880-SERVIESTADO,La Florida,-70.60002583431209,-33.5186525387528
883,Serviestado,883-SERVIESTADO,Puente Alto,-70.5778159246653,-33.6008218044813
885,Serviestado,885-SERVIESTADO,La Florida,-70.5963682177367,-33.5266573896102
889,Serviestado,889-SERVIESTADO,Cerrillos,-70.7098458919462,-33.5173362202943
891,Serviestado,891-SERVIESTADO,Quinta Normal,-70.68022995,-33.43499796
924,Serviestado,924-SERVIESTADO,San Miguel,-70.654389,-33.501358
925,Serviestado,925-SERVIESTADO,La Pintana,-70.628772,-33.58303
927,Serviestado,927-SERVIESTADO,Cerro Navia,-70.72070705,-33.43061221
934,Serviestado,934-SERVIESTADO,La Florida,-70.57176677,-33.53958299
935,Serviestado,935-SERVIESTADO,Peñalolen,-70.54418705709699,-33.4777802389231
937,Serviestado,937-SERVIESTADO,Quinta Normal,-70.69111059,-33.43208276
940,Fullcarga,LALITO SN RAMON,San Ramon,-70.64443457,-33.53259911
941,Serviestado,941-SERVIESTADO,Puente Alto,-70.57542239,-33.60808837
954,Fullcarga,LUIS ARAYA CARVAJAL,Renca,-70.6967945734628,-33.3903495490553
959,Serviestado,959-SERVIESTADO,Santiago,-70.6482392,-33.47233065
975,Serviestado,975-SERVIESTADO,Santiago,-70.64825045,-33.43788426
979,Serviestado,979-SERVIESTADO,Santiago,-70.65084421,-33.4362748
980,Serviestado,980-SERVIESTADO,Estacion Central,-70.67353148,-33.44970599
981,Serviestado,981-SERVIESTADO,Recoleta,-70.64704487774391,-33.4290078663658
982,Serviestado,982-SERVIESTADO,Estacion Central,-70.6781100270276,-33.450622994126704
986,Serviestado,986-SERVIESTADO,Ñuñoa,-70.57107139,-33.45382053
987,Serviestado,987-SERVIESTADO,Santiago,-70.65523364,-33.43872044
994,Serviestado,994-SERVIESTADO,Estacion Central,-70.6781100270276,-33.450622994126704
996,Serviestado,996-SERVIESTADO,Maipu,-70.78582651,-33.56087405
3256,Fullcarga,LOS PEQUES SN JOAQUIN,San Joaquin,-70.62299239,-33.51340381
3316,Fullcarga,NISSY LA PINTANA,La Pintana,-70.62268808,-33.56360171
9878,Fullcarga,ERICHOPER,Huechuraba,-70.62318232,-33.37779948
10347,Fullcarga,DON ORLANDO RENCA,Renca,-70.73299013,-33.40400045
10489,Fullcarga,NOLBERTO VALDES NAVARRO,Peñalolen,-70.56833145643716,-33.50171990370461
10767,Fullcarga,BAZAR LA KUKA,Recoleta,-70.64229926257609,-33.3884287445116
11267,Fullcarga,DAVICITO,Cerro Navia,-70.73272096774191,-33.43343053763439
11278,Fullcarga,SUPER OFERTAS SANTIAGO,Santiago,-70.63530722,-33.47396145
11352,Fullcarga,LICORES JUAN INAREJO,Quinta Normal,-70.69780225,-33.42147769
11730,Fullcarga,FERRADA GONZALEZ JOSEFINA,La Florida,-70.57490277777778,-33.55014138888888
12214,Fullcarga,ATEMIS COMPUTACION,Puente Alto,-70.58762524,-33.57983789
12547,Fullcarga,JOSE MANUEL NAVARRETE OSSES,Independencia,-70.661737,-33.426896
14629,Fullcarga,ALMACEN GERUDA LO ESPEJO,Lo Espejo,-70.68083991,-33.52312601
22058,Fullcarga,JUANA HUENUN,San Bernardo,-70.68530935867041,-33.5851606014042
